home_rank,away_rank,home_points,away_points,points_diff,home_form_5,away_form_5,home_form_10,away_form_10,home_goal_diff_5,away_goal_diff_5,h2h_home_win_rate,h2h_total_games,home_squad_value_log,away_squad_value_log,squad_value_diff,neutral,tournament_weight
52.0,12.0,1676.0,1912.0,-236.0,2.4,2.2,2.2,2.1,1.2,1.2,0.33,0.0,13.122365377402328,16.454567959008102,-13500000,1,4
3.0,43.0,2082.0,1719.0,363.0,2.4,1.4,2.5,1.1,1.6,-0.2,0.5,22.0,12.765691290604371,13.45883704259595,-350000,1,4
20.0,9.0,1858.0,1933.0,-75.0,3.0,1.6,2.6,1.5,2.0,0.6,0.56,25.0,15.26242977619469,16.759949589762293,-14750000,0,4
4.0,54.0,2020.0,1655.0,365.0,2.0,1.0,2.3,1.5,1.0,-0.2,0.33,0.0,13.710151153416941,12.765691290604371,550000,1,4
19.0,17.0,1866.0,1879.0,-13.0,1.8,0.8,2.0,1.6,1.4,-0.4,0.33,0.0,15.520258832020865,9.210440366976517,5490000,1,4
41.0,66.0,1721.0,1594.0,127.0,1.8,0.8,1.9,1.3,0.6,-0.6,0.5,2.0,13.592368256649284,13.122365377402328,300000,0,4
1.0,23.0,2165.0,1827.0,338.0,1.8,2.4,2.2,2.2,1.2,1.2,0.5333333333333333,15.0,18.203457147575364,15.150511887854474,76675000,1,4
5.0,10.0,1984.0,1930.0,54.0,2.6,1.2,2.1,1.9,1.8,-0.8,0.7777777777777778,9.0,15.710127563007966,15.123843647884687,2950000,1,4
16.0,35.0,1889.0,1743.0,146.0,1.8,2.0,1.7,2.2,1.2,0.6,0.33,0.0,10.819798284210286,13.997832948091215,-1150000,1,4
26.0,51.0,1783.0,1689.0,94.0,1.4,1.6,1.3,1.8,0.6,0.4,0.0,1.0,14.417091092943783,12.611541086966115,1525000,1,4
2.0,72.0,2113.0,1549.0,564.0,3.0,1.2,2.7,1.2,3.0,0.0,0.33,0.0,12.899222326086994,14.731801689838349,-2100000,1,4
7.0,82.0,1975.0,1505.0,470.0,2.4,1.0,2.2,1.1,1.0,-0.4,0.33,0.0,13.304686600863562,13.122365377402328,100000,1,4
25.0,24.0,1784.0,1821.0,-37.0,1.6,2.2,1.5,2.2,1.4,1.4,0.0,3.0,11.918397239722838,13.815511557963774,-850000,1,4
