date,home_rank,away_rank,home_points,away_points,points_diff,home_form_5,away_form_5,home_form_10,away_form_10,home_goal_diff_5,away_goal_diff_5,h2h_home_win_rate,h2h_total_games,home_squad_value_log,away_squad_value_log,squad_value_diff,neutral,tournament_weight,outcome
1993-01-01,39.0,69.0,34.0,22.0,12.0,1.4,2.0,2.2,2.0,0.2,0.4,0.6666666666666666,9.0,14.220976332738882,14.220976332738882,0.0,1,1,Draw
1993-01-02,55.0,97.0,27.0,11.0,16.0,2.6,1.2,2.0,1.4,1.2,-1.6,0.4,5.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-02,71.0,161.0,21.0,0.0,21.0,1.2,0.4,1.5,0.5,-0.6,-2.0,0.4,5.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-03,55.0,39.0,27.0,34.0,-7.0,2.6,1.4,2.1,2.0,1.2,0.2,0.3333333333333333,3.0,14.220976332738882,14.220976332738882,0.0,0,1,Away Win
1993-01-03,97.0,69.0,11.0,22.0,-11.0,1.4,2.0,1.5,2.0,-0.8,0.4,0.4666666666666667,15.0,14.220976332738882,14.220976332738882,0.0,1,1,Home Win
1993-01-08,92.0,80.0,12.0,15.0,-3.0,1.6,1.4,1.7,0.9,0.6,0.2,0.5609756097560976,41.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-10,38.0,26.0,35.0,41.0,-6.0,1.2,1.2,1.4,1.7,0.6,0.0,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-10,102.0,54.0,10.0,27.0,-17.0,0.4,2.4,1.2,1.7,-0.6,1.0,0.0,3.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-10,139.0,124.0,2.0,5.0,-3.0,0.0,0.8,0.6,1.1,-2.8,-1.4,0.33,0.0,14.220976332738882,14.220976332738882,0.0,0,1,Away Win
1993-01-10,51.0,30.0,27.0,39.0,-12.0,1.0,1.4,1.1,1.3,-0.4,0.2,0.0,10.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-10,92.0,80.0,12.0,15.0,-3.0,1.6,1.2,2.0,0.9,0.6,-0.2,0.5714285714285714,42.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-16,124.0,13.0,5.0,50.0,-45.0,1.2,2.2,1.4,2.3,-1.0,1.4,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-16,80.0,32.0,15.0,38.0,-23.0,1.2,2.0,0.8,2.2,-0.4,2.2,0.15789473684210525,19.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-17,127.0,38.0,4.0,35.0,-31.0,0.0,1.8,0.1,1.7,-2.0,1.4,0.0,3.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-17,104.0,22.0,10.0,43.0,-33.0,0.8,1.6,0.8,1.6,-1.6,1.0,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-17,139.0,27.0,2.0,41.0,-39.0,0.0,1.0,0.6,1.4,-2.4,-0.2,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-17,101.0,54.0,10.0,27.0,-17.0,1.2,2.0,1.1,1.8,-0.4,0.8,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-17,100.0,30.0,10.0,39.0,-29.0,2.0,1.4,1.8,1.3,0.2,0.0,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-17,85.0,41.0,14.0,32.0,-18.0,1.2,1.6,1.0,1.6,0.4,1.0,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-17,158.0,74.0,0.0,18.0,-18.0,0.2,1.6,0.14285714285714285,1.9,-2.2,0.8,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-17,107.0,55.0,9.0,27.0,-18.0,1.2,2.0,1.0,1.8,0.2,0.6,0.0,2.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-18,102.0,21.0,10.0,45.0,-35.0,0.6,1.2,1.3,1.7,-0.4,0.4,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Draw
1993-01-19,77.0,87.0,16.0,14.0,2.0,0.4,0.6,1.1,1.2,-1.2,-1.0,0.33,0.0,14.220976332738882,14.220976332738882,0.0,1,1,Home Win
1993-01-20,32.0,158.0,38.0,0.0,38.0,2.0,0.2,2.2,0.125,1.0,-2.0,1.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Home Win
1993-01-20,143.0,44.0,2.0,31.0,-29.0,0.8,0.4,1.1,0.4,-1.0,-0.6,0.33,0.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-20,117.0,63.0,6.0,24.0,-18.0,0.6,1.2,1.2,1.1,-1.6,0.4,0.16666666666666666,6.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-20,2.0,25.0,57.0,43.0,14.0,1.8,2.0,2.2,1.7,0.4,3.0,0.7142857142857143,7.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-22,22.0,44.0,43.0,31.0,12.0,1.6,0.6,1.4,0.5,1.0,-0.4,0.33,0.0,14.220976332738882,14.220976332738882,0.0,1,1,Draw
1993-01-23,125.0,78.0,5.0,16.0,-11.0,0.0,0.8,0.1,0.9,-3.8,0.0,0.1,10.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-23,117.0,30.0,6.0,39.0,-33.0,1.2,1.6,1.2,1.3,-1.2,0.2,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-23,39.0,81.0,34.0,15.0,19.0,2.0,0.8,2.0,1.1,0.6,-0.6,0.75,8.0,14.220976332738882,14.220976332738882,0.0,0,1,Home Win
1993-01-23,66.0,12.0,22.0,51.0,-29.0,2.2,2.6,1.9,1.7,0.6,2.4,0.33,0.0,14.220976332738882,14.220976332738882,0.0,1,1,Draw
1993-01-24,73.0,33.0,19.0,38.0,-19.0,0.8,1.0,1.2,1.3,-1.2,-0.4,0.0,6.0,14.220976332738882,14.220976332738882,0.0,0,2,Away Win
1993-01-24,143.0,22.0,2.0,43.0,-41.0,0.4,1.6,1.2,1.4,-1.2,1.0,0.33,0.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-25,87.0,8.0,14.0,52.0,-38.0,0.4,1.6,0.9,1.2,-1.2,0.0,0.33,0.0,14.220976332738882,14.220976332738882,0.0,1,1,Away Win
1993-01-26,143.0,44.0,2.0,31.0,-29.0,0.6,0.6,1.0,0.5,-0.8,-0.4,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,1,Away Win
1993-01-27,78.0,40.0,16.0,32.0,-16.0,1.0,2.0,1.0,2.0,0.2,1.4,0.0,1.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-27,15.0,25.0,49.0,43.0,6.0,1.8,1.4,2.0,1.7,1.2,2.2,0.75,4.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-27,65.0,146.0,23.0,1.0,22.0,0.6,0.6,0.7,1.2,-0.6,-0.6,0.33,0.0,14.220976332738882,14.220976332738882,0.0,0,1,Draw
1993-01-28,22.0,44.0,43.0,31.0,12.0,1.8,1.2,1.5,0.7,1.2,0.2,0.0,1.0,14.220976332738882,14.220976332738882,0.0,1,1,Home Win
