player_id,name,country_of_citizenship,position,international_caps,market_value_in_eur
10,Miroslav Klose,Germany,Attack,,1000000.0
26,Roman Weidenfeller,Germany,Goalkeeper,,750000.0
65,Dimitar Berbatov,Bulgaria,Attack,,1000000.0
77,Lúcio,Brazil,Defender,,200000.0
80,Tom Starke,Germany,Goalkeeper,,100000.0
109,Dedê,Brazil,Defender,,400000.0
123,Christoph Metzelder,Germany,Defender,,1500000.0
132,Tomas Rosicky,Czech Republic,Midfield,,350000.0
162,Marc Ziegler,Germany,Goalkeeper,,200000.0
215,Roque Santa Cruz,Paraguay,Attack,,250000.0
258,Gerald Asamoah,Germany,Attack,,100000.0
264,Tamás Hajnal,Hungary,Midfield,,100000.0
276,Sladan Peric,Denmark,Defender,,200000.0
277,Sérgio da Silva Pinto,Germany,Midfield,,150000.0
299,Fabian Ernst,Germany,Midfield,,1500000.0
325,Tomas Ujfalusi,Czech Republic,Defender,,300000.0
332,Benjamin Köhler,Germany,Midfield,,150000.0
410,Sebastian Kehl,Germany,Midfield,,1000000.0
411,Levan Kobiashvili,Georgia,Midfield,,400000.0
447,Oka Nikolov,North Macedonia,Goalkeeper,,350000.0
488,Gerhard Tremmel,Germany,Goalkeeper,,250000.0
532,Claudio Pizarro,Peru,Attack,,400000.0
557,Simon Jentzsch,Germany,Goalkeeper,,300000.0
568,Martin Stranzl,Austria,Defender,,1000000.0
597,Aleksandr Hleb,Belarus,Midfield,,150000.0
598,Timo Hildebrand,Germany,Goalkeeper,,750000.0
643,Christian Vander,Germany,Goalkeeper,,100000.0
670,Martin Petrov,Bulgaria,Attack,,400000.0
690,Ivan Klasnic,Croatia,Attack,,500000.0
691,Simon Rolfes,Germany,Midfield,,2000000.0
735,Giuseppe Gemiti,Germany,Defender,,75000.0
755,Deniz Baris,Turkey,Defender,,300000.0
773,David Jarolim,Czech Republic,Midfield,,250000.0
823,Hanno Balitsch,Germany,Midfield,,200000.0
831,Selim Teber,Germany,Midfield,,175000.0
837,Thorben Marx,Germany,Midfield,,300000.0
886,Jens Langeneke,Germany,Defender,,100000.0
892,Heinz Müller,Germany,Goalkeeper,,200000.0
933,Ugur Inceman,Turkey,Midfield,,50000.0
992,Christian Weber,Germany,Defender,,50000.0
1073,Manuel Friedrich,Germany,Defender,,500000.0
1075,Andriy Voronin,Ukraine,Attack,,500000.0
1083,Julian de Guzmán,Canada,Midfield,,250000.0
1094,Emanuel Pogatetz,Austria,Defender,,200000.0
1095,Peer Kluge,Germany,Midfield,,125000.0
1116,Thomas Kleine,Germany,Defender,,250000.0
1122,Sven Neuhaus,Germany,Goalkeeper,,200000.0
1126,Matthias Lehmann,Germany,Midfield,,250000.0
1139,Nikolce Noveski,North Macedonia,Defender,,500000.0
1144,Christofer Heimeroth,Germany,Goalkeeper,,100000.0
1150,Raphael Schäfer,Germany,Goalkeeper,,200000.0
1161,Javier Zanetti,Argentina,Defender,,1000000.0
1197,Peter Graulund,Denmark,Attack,,250000.0
1257,Michael Ratajczak,Germany,Goalkeeper,,50000.0
1277,Clemens Fritz,Germany,Defender,,750000.0
1321,Jermaine Jones,United States,Midfield,,600000.0
1323,Martin Amedick,Germany,Defender,,300000.0
1327,Alou Diarra,France,Midfield,,250000.0
1331,Kevin Kuranyi,Germany,Attack,,1250000.0
1335,Steven Cherundolo,United States,Defender,,750000.0
1363,Christian Wetklo,Germany,Goalkeeper,,50000.0
1368,Guy Demel,Cote d'Ivoire,Defender,,150000.0
1381,Maik Franz,Germany,Defender,,300000.0
1397,Michael Owen,England,Attack,,1000000.0
1423,Lars Jacobsen,Denmark,Defender,,500000.0
1426,Cacau,Germany,Attack,,350000.0
1428,Mike Hanke,Germany,Attack,,1000000.0
1443,Christian Poulsen,Denmark,Midfield,,400000.0
1474,Tim Wiese,Germany,Goalkeeper,,500000.0
1496,Heiko Butscher,Germany,Defender,,200000.0
1532,Wesley Sonck,Belgium,Missing,,200000.0
1560,Youssef El Akchaoui,Morocco,Defender,,350000.0
1565,Alexander Meier,Germany,Attack,,300000.0
1568,Stefan Reisinger,Germany,Attack,,500000.0
1572,Andreas Wolf,Germany,Defender,,500000.0
1573,Thomas Hitzlsperger,Germany,Midfield,,1000000.0
1586,Christian Schulz,Germany,Defender,,100000.0
1587,Mario Eggimann,Switzerland,Defender,,400000.0
1606,Morten Rasmussen,Denmark,Defender,,50000.0
1613,Vivian,Brazil,Defender,,100000.0
1659,Dennis Kruppke,Germany,Attack,,400000.0
1662,Sascha Riether,Germany,Defender,,300000.0
1667,Diego Benaglio,Switzerland,Goalkeeper,,250000.0
1684,Milorad Pekovic,Montenegro,Midfield,,150000.0
1716,David Odonkor,Germany,Attack,,500000.0
1725,Jesper Christiansen,Denmark,Goalkeeper,,50000.0
1726,Heiko Westermann,Germany,Defender,,400000.0
1743,Patrick Platins,Germany,Goalkeeper,,250000.0
1772,Du-ri Cha,"Korea, South",Defender,,825000.0
1784,René Adler,Germany,Goalkeeper,,500000.0
1791,Halil Altintop,Turkey,Midfield,,200000.0
1792,Hamit Altintop,Turkey,Midfield,,300000.0
1841,Ali Bilgin,Turkey,Midfield,,175000.0
1896,Ahmet Cebe,Germany,Defender,,50000.0
1944,Deniz Dogan,Turkey,Defender,,75000.0
1986,Markus Feulner,Germany,Midfield,,100000.0
2048,Philipp Haastrup,Germany,Defender,,100000.0
2050,Nelson Valdez,Paraguay,Attack,,100000.0
2138,Mladen Kascelan,Montenegro,Midfield,,25000.0
2148,Erdal Kilicaslan,Germany,Attack,,400000.0
2150,Oliver Kirch,Germany,Midfield,,500000.0
2154,Patric Klandt,Germany,Goalkeeper,,50000.0
2201,Lukas Kruse,Germany,Goalkeeper,,100000.0
2219,Philipp Lahm,Germany,Defender,,11000000.0
2233,Christian Lell,Germany,Defender,,800000.0
2306,Markus Miller,Germany,Goalkeeper,,300000.0
2309,Zvjezdan Misimovic,Bosnia-Herzegovina,Midfield,,700000.0
2334,Marcel Ndjeng,Cameroon,Midfield,,50000.0
2358,Patrick Ochs,Germany,Defender,,200000.0
2374,Patrick Owomoyela,Germany,Defender,,200000.0
2386,Marjan Petkovic,Germany,Goalkeeper,,200000.0
2421,Michael Rensing,Germany,Goalkeeper,,300000.0
2453,Mahir Saglik,Turkey,Attack,,50000.0
2514,Bastian Schweinsteiger,Germany,Midfield,,1000000.0
2583,Thorsten Stuckmann,Germany,Goalkeeper,,100000.0
2587,Elyasa Süme,Turkey,Defender,,25000.0
2623,Piotr Trochowski,Germany,Midfield,,750000.0
2703,Morten Skoubo,Denmark,Attack,,300000.0
2712,Nando Rafael,Angola,Attack,,250000.0
2726,Romuald Peiser,France,Goalkeeper,,75000.0
2767,Alexander Madlung,Germany,Defender,,250000.0
2805,Christian Pander,Germany,Defender,,250000.0
2857,Eldin Jakupovic,Switzerland,Goalkeeper,,100000.0
2865,Stephan Lichtsteiner,Switzerland,Defender,,800000.0
2874,Mladen Petric,Croatia,Attack,,600000.0
2878,Yassin Mikari,Tunisia,Defender,,150000.0
2899,Hervé Tum,Cameroon,Attack,,250000.0
2904,Rafa Márquez,Mexico,Defender,,800000.0
2923,Andreas Ivanschitz,Austria,Midfield,,200000.0
2926,György Garics,Austria,Defender,,100000.0
2950,Robert Almer,Austria,Goalkeeper,,250000.0
2953,Paul Scharner,Austria,Midfield,,1500000.0
2956,Roland Linz,Austria,Attack,,500000.0
2963,Martín Demichelis,Argentina,Defender,,200000.0
2989,Paolo Guerrero,Peru,Attack,129.0,
2998,Robert Huth,Germany,Defender,,2500000.0
2999,Chris Iwelumo,Scotland,Attack,,250000.0
3059,Ekrem Dag,Austria,Defender,,100000.0
3098,Olof Mellberg,Sweden,Defender,,300000.0
3109,Steven Gerrard,England,Midfield,,1750000.0
3114,Jan Schlaudraff,Germany,Attack,,750000.0
3115,David Bellion,France,Attack,,250000.0
3118,Kieron Dyer,England,Midfield,,500000.0
3120,Richard Wright,England,Goalkeeper,,250000.0
3130,Titus Bramble,England,Defender,,2000000.0
3131,Kevin Phillips,England,Attack,,250000.0
3132,Florin Cernat,Romania,Midfield,,100000.0
3139,David Beckham,England,Midfield,,1000000.0
3146,Shay Given,Ireland,Goalkeeper,,250000.0
3151,Carlo Cudicini,Italy,Goalkeeper,,500000.0
3156,William Gallas,France,Defender,,500000.0
3159,Valerio Di Cesare,Italy,Defender,,200000.0
3160,John Terry,England,Defender,,1000000.0
3163,Frank Lampard,England,Midfield,,1000000.0
3165,Cris,Brazil,Defender,,250000.0
3170,Simon Cziommer,Germany,Midfield,,400000.0
3172,Quique de Lucas,Spain,Midfield,,100000.0
3176,Eidur Gudjohnsen,Iceland,Attack,,200000.0
3179,Carlton Cole,England,Attack,,500000.0
3182,Ashley Cole,England,Defender,,500000.0
3190,Stuart Taylor,England,Goalkeeper,,250000.0
3195,Jermaine Pennant,England,Attack,,500000.0
3201,Stathis Tavlaridis,Greece,Defender,,150000.0
3202,Kolo Touré,Cote d'Ivoire,Defender,,1750000.0
3205,David Bentley,England,Midfield,,3000000.0
3216,Milan Baros,Czech Republic,Attack,,250000.0
