national_team_id,name,country_name,confederation
10521,San Marino,San Marino,UEFA
10533,Andorra,Andorra,UEFA
11953,Montenegro,Montenegro,UEFA
13342,Guatemala,Guatemala,CONCACAF
13497,Uganda,Uganda,CAF
13941,Ethiopia,Ethiopia,CAF
13951,El Salvador,El Salvador,CONCACAF
13955,Fiji,Fiji,OFC
13957,India,India,AFC
13958,Indonesia,Indonesia,AFC
13975,Tajikistan,Tajikistan,AFC
14162,Qatar,Qatar,AFC
14165,Oman,Oman,AFC
15033,Bangladesh,Bangladesh,AFC
15232,Dominican Republic,Dominican Republic,CONCACAF
15234,Philippines,Philippines,AFC
15351,Nicaragua,Nicaragua,CONCACAF
15357,Singapore,Singapore,AFC
15363,Chinese Taipei,Chinese Taipei,AFC
15737,Jordan,Jordan,AFC
15738,Malaysia,Malaysia,AFC
15977,Hong Kong,Hongkong,AFC
16038,Cambodia,Cambodia,AFC
16423,Myanmar,Myanmar,AFC
16430,Comoros,Comoros,CAF
16431,Laos,Laos,
17759,Puerto Rico,Puerto Rico,CONCACAF
3262,Germany,Germany,UEFA
3299,England,England,UEFA
3300,Portugal,Portugal,UEFA
3375,Spain,Spain,UEFA
3376,Italy,Italy,UEFA
3377,France,France,UEFA
3378,Greece,Greece,UEFA
3379,Netherlands,Netherlands,UEFA
3380,Scotland,Scotland,UEFA
3381,Turkiye,Türkiye,UEFA
3382,Belgium,Belgium,UEFA
3383,Austria,Austria,UEFA
3384,Switzerland,Switzerland,UEFA
3394,Bulgaria,Bulgaria,UEFA
3433,Australia,Australia,AFC
3435,Japan,Japan,AFC
3436,Denmark,Denmark,UEFA
3437,Argentina,Argentina,CONMEBOL
3438,Serbia,Serbia,UEFA
3439,Brazil,Brazil,CONMEBOL
3440,Norway,Norway,UEFA
3441,Ghana,Ghana,CAF
3442,Poland,Poland,UEFA
3443,Finland,Finland,UEFA
3444,Nigeria,Nigeria,CAF
3445,Czech Republic,Czech Republic,UEFA
3446,Bosnia-Herzegovina,Bosnia-Herzegovina,UEFA
3447,Romania,Romania,UEFA
3448,Russia,Russia,UEFA
3449,Uruguay,Uruguay,CONMEBOL
3450,Belarus,Belarus,UEFA
3468,Hungary,Hungary,UEFA
3499,Senegal,Senegal,CAF
3503,Slovakia,Slovakia,UEFA
3504,Venezuela,Venezuela,CONMEBOL
3505,United States,United States,CONCACAF
3509,Republic of Ireland,Ireland,UEFA
3510,Canada,Canada,CONCACAF
3555,Latvia,Latvia,UEFA
3556,Croatia,Croatia,UEFA
3557,Sweden,Sweden,UEFA
3560,Iraq,Iraq,AFC
3561,Albania,Albania,UEFA
3563,Uzbekistan,Uzbekistan,AFC
3574,Iceland,Iceland,UEFA
3575,Morocco,Morocco,CAF
3577,Panama,Panama,CONCACAF
3580,Luxembourg,Luxembourg,UEFA
3581,Paraguay,Paraguay,CONMEBOL
3582,Iran,Iran,AFC
3584,Peru,Peru,CONMEBOL
3586,Lebanon,Lebanon,AFC
3587,Malta,Malta,UEFA
3588,Slovenia,Slovenia,UEFA
3589,South Korea,"Korea, South",AFC
3590,Honduras,Honduras,CONCACAF
3614,Algeria,Algeria,CAF
3668,Cyprus,Cyprus,UEFA
3669,Georgia,Georgia,UEFA
3670,Tunisia,Tunisia,CAF
3671,Jamaica,Jamaica,CONCACAF
3672,Egypt,Egypt,CAF
3699,Ukraine,Ukraine,UEFA
3700,Chile,Chile,CONMEBOL
37574,Gibraltar,Gibraltar,UEFA
3806,South Africa,South Africa,CAF
3807,Saudi Arabia,Saudi Arabia,AFC
3816,Colombia,Colombia,CONMEBOL
3851,Lithuania,Lithuania,UEFA
3864,Wales,Wales,UEFA
3956,Kyrgyzstan,Kyrgyzstan,AFC
5147,United Arab Emirates,United Arab Emirates,AFC
5148,North Macedonia,North Macedonia,UEFA
5233,Bolivia,Bolivia,CONMEBOL
53982,Kosovo,Kosovo,UEFA
5547,Israel,Israel,UEFA
5598,China,China,AFC
5674,Northern Ireland,Northern Ireland,UEFA
5676,Thailand,Thailand,AFC
5750,Ecuador,Ecuador,CONMEBOL
6090,Moldova,Moldova,UEFA
6133,Estonia,Estonia,UEFA
6219,Armenia,Armenia,UEFA
6303,Mexico,Mexico,CONCACAF
6602,Libya,Libya,CAF
8497,Costa Rica,Costa Rica,CONCACAF
8605,Azerbaijan,Azerbaijan,UEFA
8778,Vietnam,Vietnam,AFC
9110,Kazakhstan,Kazakhstan,UEFA
9171,New Zealand,New Zealand,OFC
9173,Faroe Islands,Faroe Islands,UEFA
